row_index,label,algorithm,feature_space
1640,3,clara_k8,text_pca64_only
1653,3,clara_k8,text_pca64_only
1655,3,clara_k8,text_pca64_only
1670,0,clara_k8,text_pca64_only
1684,5,clara_k8,text_pca64_only
1692,3,clara_k8,text_pca64_only
1697,1,clara_k8,text_pca64_only
1714,3,clara_k8,text_pca64_only
1718,0,clara_k8,text_pca64_only
1721,1,clara_k8,text_pca64_only
1728,0,clara_k8,text_pca64_only
1736,6,clara_k8,text_pca64_only
1738,0,clara_k8,text_pca64_only
1742,5,clara_k8,text_pca64_only
1747,2,clara_k8,text_pca64_only
1751,6,clara_k8,text_pca64_only
1761,2,clara_k8,text_pca64_only
1801,2,clara_k8,text_pca64_only
1807,4,clara_k8,text_pca64_only
1815,2,clara_k8,text_pca64_only
1824,3,clara_k8,text_pca64_only
1830,2,clara_k8,text_pca64_only
1841,1,clara_k8,text_pca64_only
1842,2,clara_k8,text_pca64_only
1846,0,clara_k8,text_pca64_only
1853,0,clara_k8,text_pca64_only
1858,2,clara_k8,text_pca64_only
1860,1,clara_k8,text_pca64_only
1862,2,clara_k8,text_pca64_only
1866,0,clara_k8,text_pca64_only
1870,5,clara_k8,text_pca64_only
1879,2,clara_k8,text_pca64_only
1880,7,clara_k8,text_pca64_only
1910,1,clara_k8,text_pca64_only
1938,2,clara_k8,text_pca64_only
1956,0,clara_k8,text_pca64_only
1965,1,clara_k8,text_pca64_only
1966,6,clara_k8,text_pca64_only
1978,1,clara_k8,text_pca64_only
1983,3,clara_k8,text_pca64_only
1994,0,clara_k8,text_pca64_only
2009,1,clara_k8,text_pca64_only
2029,4,clara_k8,text_pca64_only
2037,3,clara_k8,text_pca64_only
2040,0,clara_k8,text_pca64_only
2046,3,clara_k8,text_pca64_only
2054,0,clara_k8,text_pca64_only
2059,6,clara_k8,text_pca64_only
2060,2,clara_k8,text_pca64_only
2062,0,clara_k8,text_pca64_only
2072,6,clara_k8,text_pca64_only
2086,1,clara_k8,text_pca64_only
2087,1,clara_k8,text_pca64_only
2097,1,clara_k8,text_pca64_only
2098,2,clara_k8,text_pca64_only
2099,0,clara_k8,text_pca64_only
2104,0,clara_k8,text_pca64_only
2107,6,clara_k8,text_pca64_only
2110,3,clara_k8,text_pca64_only
2114,0,clara_k8,text_pca64_only
2125,6,clara_k8,text_pca64_only
2129,0,clara_k8,text_pca64_only
2132,0,clara_k8,text_pca64_only
2168,6,clara_k8,text_pca64_only
2173,0,clara_k8,text_pca64_only
2174,0,clara_k8,text_pca64_only
2180,5,clara_k8,text_pca64_only
2182,4,clara_k8,text_pca64_only
2188,0,clara_k8,text_pca64_only
