feature_space,algorithm,k,fit_n_rows,eval_n_rows,coverage_pct,n_clusters,silhouette_cosine,silhouette_euclidean,dbi,calinski_harabasz,inertia,negative_silhouette_pct,silhouette_p10,silhouette_p25,silhouette_median,silhouette_p75,silhouette_p90,largest_cluster_pct,top3_cluster_pct,top5_cluster_pct,min_cluster_size,median_cluster_size,max_cluster_size,normalized_entropy,gini,n_clusters_lt_100,n_clusters_lt_500,low_interpretability_clusters,publisher_warning_count,stock_warning_count,notes,base_score,silhouette_cosine_score,dbi_score,negative_silhouette_pct_score,normalized_entropy_score,largest_cluster_pct_score,n_clusters_lt_500_score,publisher_warning_count_score,stock_warning_count_score,mean_ARI,mean_NMI,mean_ARI_score,mean_NMI_score,final_score
text_pca128_lexical_w010,MiniBatchKMeans,64,100000,10000,100.0,64,0.0782553851604461,-0.0203164219856262,3.842128661632604,33.314220220220534,10669548.0,40.92,-0.0754244223237037,-0.0319946287199854,0.0187043379992246,0.1118267606943845,0.3342078834772111,3.5130000000000003,10.226,16.008,2,1514.0,3513,0.9567994875606356,0.3262387499999999,1,7,1,28,1,,0.8270791948922945,0.8358285947692846,0.7278751733939947,0.8674765323025952,0.919642178301533,0.9646021295618954,0.8157894736842105,0.5641025641025641,0.8888888888888888,,,,,0.8270791948922945
text_pca128_lexical_w005_l2,MiniBatchKMeans,40,100000,10000,100.0,40,0.078459694981575,0.0495602041482925,4.357277247224098,47.50917957112893,84802.0625,36.13,-0.0470621593296527,-0.0173551016487181,0.024019056931138,0.1037474162876606,0.3074342370033269,5.754,15.179,23.995,668,2470.5,5754,0.967347238518355,0.2764505000000001,0,0,2,20,1,,0.8255428484224774,0.8374937165894596,0.5156662285279552,0.9556414503957297,0.948880995076708,0.8735267820856701,1.0,0.7692307692307693,0.8888888888888888,,,,,0.8255428484224774
text_pca128_lexical_w005,MiniBatchKMeans,64,100000,10000,100.0,64,0.0748955234885215,-0.0242859460413455,3.850908461968436,32.33033323372593,10684465.0,40.98,-0.0711882062256336,-0.0311218006536364,0.0187053494155406,0.1104823146015405,0.2911994099617004,3.234,9.564,15.092,157,1651.5,3234,0.9627364762195656,0.304820625,0,7,1,29,0,,0.8247235245365161,0.8084457751290992,0.7242584456818102,0.8663721700717836,0.9360997647851903,0.9759408274404617,0.8157894736842105,0.5384615384615384,1.0,,,,,0.8247235245365161
text_pca128_lexical_w005,MiniBatchKMeans,48,100000,10000,100.0,48,0.0691611841320991,-0.0337854549288749,4.137560302236248,36.02707071782897,11029466.0,36.53,-0.0559218421578407,-0.0194811136461794,0.0211603520438075,0.0844376366585493,0.2859064817428591,4.718,13.59,20.421,266,2067.0,4718,0.9625630303602632,0.2919820833333333,0,5,1,19,0,,0.816552870864328,0.7617109998064632,0.6061758453048806,0.9482790355236517,0.9356189654450388,0.9156303340648622,0.868421052631579,0.7948717948717948,1.0,,,,,0.816552870864328
text_pca128_lexical_w005_l2,MiniBatchKMeans,32,100000,10000,100.0,32,0.071973830461502,0.0469486191868782,4.445203813341607,53.72503044562565,86086.578125,39.25,-0.0521062072366476,-0.0210173083469271,0.0167290242388844,0.0826942566782236,0.2970159441232682,9.745,21.446,32.035000000000004,681,3153.5,9745,0.948015533794688,0.3315537500000001,0,0,1,14,0,,0.7893798875094241,0.7846340230348428,0.4794459916033666,0.898214614393521,0.8952926827783964,0.7113305697797285,1.0,0.9230769230769231,1.0,,,,,0.7893798875094241
text_pca128_lexical_w005,MiniBatchKMeans,40,100000,10000,100.0,40,0.0682086944580078,-0.0292699672281742,4.398539965717718,39.78190561978015,11165457.0,38.78,-0.055332002043724,-0.0216584759764373,0.0200893022119998,0.0936242192983627,0.2576498806476594,5.453,15.817,24.576,1,2527.5,5453,0.95155819600949,0.319992,1,3,1,15,1,,0.7884895279529032,0.7539482239836597,0.498668573484835,0.9068654518682128,0.9051130939551624,0.8857595708363813,0.9210526315789473,0.8974358974358975,0.8888888888888888,,,,,0.7884895279529032
text_pca128_lexical_w010,MiniBatchKMeans,48,100000,10000,100.0,48,0.0695360228419303,-0.0356899164617061,4.330375794553738,36.60878881732447,11000961.0,42.2,-0.0674864418804645,-0.0305355004966259,0.0159048587083816,0.0999645143747329,0.3060114562511445,5.018000000000001,13.58,21.651,159,1961.5,5018,0.9565456302828006,0.3226591666666667,0,4,1,21,0,,0.7842182157574298,0.7647659293802717,0.5267479417388846,0.8439168047119454,0.9189384750700655,0.9034381858083393,0.8947368421052632,0.7435897435897436,1.0,,,,,0.7842182157574298
text_pca128_lexical_w003,MiniBatchKMeans,40,100000,10000,100.0,40,0.0611506849527359,-0.021371342241764,4.283661611820309,39.589586759512976,11230368.0,40.52,-0.0602316338568925,-0.0241799857467412,0.0157457776367664,0.0864697508513927,0.2403163388371469,6.2170000000000005,17.158,26.05,4,2853.5,6217,0.9362646032270044,0.3636255000000001,2,4,1,15,0,,0.7703375593003777,0.6964255578225653,0.5459912585321512,0.8748389471746733,0.8627186006651999,0.8547102332764366,0.8947368421052632,0.8974358974358975,1.0,,,,,0.7703375593003777
text_pca128_only,MiniBatchKMeans,40,100000,10000,100.0,40,0.0578501522541046,-0.0195104759186506,4.069813378910984,39.021542518498485,11170046.0,46.37,-0.0772445492446422,-0.037111259996891,0.0062321624718606,0.0852452125400304,0.2645918399095537,6.238,16.882,26.214,211,2650.5,6238,0.9381891382593412,0.3672185000000001,0,6,1,15,0,,0.7600558700486633,0.6695262683790851,0.6340833335886106,0.767163629670532,0.868053494085936,0.8538567828984801,0.8421052631578947,0.8974358974358975,1.0,,,,,0.7600558700486633
text_pca128_only,MiniBatchKMeans,32,100000,10000,100.0,32,0.0601499266922473,-0.0343993715941906,4.622240905187634,40.99984736305689,11398491.0,45.33,-0.0599071152508258,-0.0275512300431728,0.0068607656285166,0.0681215953081846,0.2274880334734917,7.177,18.439,28.626,580,3470.0,7177,0.9481643007656936,0.3252168749999999,0,0,0,12,0,,0.7450873386638912,0.6882693937818334,0.40651780056570513,0.7863059083379349,0.8957050711846896,0.8156953588555637,1.0,0.9743589743589743,1.0,,,,,0.7450873386638912
text_pca128_lexical_w003,MiniBatchKMeans,32,100000,10000,100.0,32,0.0560250505805015,-0.0319756232202053,4.776181707728018,40.00579808871829,11434661.0,38.43,-0.0497187905013561,-0.0194930345751345,0.0181270698085427,0.0783240534365177,0.1756958574056626,8.285,20.631,31.412000000000003,529,2863.5,8285,0.9488591679045174,0.33200625,0,0,0,12,0,,0.7387074022868112,0.6546517185216063,0.3431038338139238,0.9133075648812811,0.8976312726125201,0.7706656912948061,1.0,0.9743589743589743,1.0,,,,,0.7387074022868112
text_pca128_lexical_w005,MiniBatchKMeans,32,100000,10000,100.0,32,0.0548468753695488,-0.0462625175714492,4.508645758379606,41.06377123015229,11416396.0,44.8,-0.0590686969459056,-0.0271114557981491,0.0074669318273663,0.0616835700348019,0.2083315163850785,7.625,20.946,31.776,361,3125.5,7625,0.9370284046762642,0.3609625000000001,0,2,1,12,0,,0.732785695201219,0.645049609132509,0.45331188468098244,0.7960611080434383,0.864835890949834,0.7974884174591563,0.9473684210526315,0.9743589743589743,1.0,,,,,0.732785695201219
text_pca256_lexical_w005_l2,MiniBatchKMeans,64,100000,10000,100.0,64,0.0699793845415115,0.0467393845319747,4.771517455311338,25.52107326108875,86538.1640625,42.53,-0.0476834520697593,-0.0239680306985974,0.0133836809545755,0.0861979201436042,0.2419954270124436,5.362,14.525,21.813,284,1385.0,5362,0.949636171981774,0.3580246874999999,0,6,0,37,0,,0.7190437139365455,0.768379320239915,0.34502521360922295,0.837842812442481,0.899785161146629,0.8894578558075267,0.8421052631578947,0.3333333333333333,1.0,,,,,0.7190437139365455
