x,y
7.574951,-14.703867
-0.21753454,-10.799096
-8.820174,7.7494273
-1.1639545,-5.559422
-1.1645788,11.418448
7.884392,-6.5363646
-4.144357,-12.837962
1.3663021,-14.313702
-0.17501146,9.063903
23.585981,3.095345
23.019484,1.7428901
-0.5886576,-12.461729
13.22186,17.359312
-1.6191354,-15.679141
27.446854,1.5550865
6.9705243,-10.04125
16.859694,13.347645
2.8032138,-9.515937
9.2406025,-8.856088
20.415823,1.9150939
-9.1760235,1.8147854
16.513609,7.296071
-1.4245943,-2.7991846
-10.982996,-17.145617
-2.675833,12.590634
-10.763251,-8.666237
3.9125552,-9.894282
32.540287,5.1291995
-11.931924,10.213749
11.149831,-10.649674
2.9230297,-11.902264
-4.8113856,-19.002283
-27.17849,-2.224542
2.6368952,-13.595959
-1.0138949,-3.6146321
-8.644437,12.545063
-15.738238,-1.5826044
3.0792587,-14.374972
-5.7719564,-16.69483
-6.4833193,-9.561025
4.7863836,-14.189368
-2.1265337,4.2958684
13.238702,18.694363
-11.495599,11.578532
-0.9967569,5.3070574
18.03265,-7.1629643
-13.602311,2.851501
-14.24895,-8.499382
-12.108934,6.911032
12.03082,0.8939374
-5.532107,7.915151
3.909569,-4.739143
13.769917,0.909737
3.5158322,-1.2573456
11.293458,-5.1317744
23.85262,8.383222
12.307863,-2.340821
-14.393752,4.151194
1.6705501,-8.193247
6.9193535,10.699425
-0.66163146,12.676441
5.038703,-12.595639
-4.947609,9.243463
2.137712,-11.285948
9.86123,18.061888
3.4430814,-8.4416685
-14.940775,7.315245
-13.75086,-11.581218
-12.501289,-10.752468
4.3457932,-11.2739105
-8.077599,13.786334
5.668638,-2.6384995
14.290386,-3.6442096
8.944075,-6.174177
7.38794,14.129987
-3.8153374,7.156218
-16.044428,-1.0487759
1.65315,-16.222015
-18.291435,1.489183
-0.83782476,15.999289
5.921775,-4.512133
6.7343135,-12.463315
-9.625161,12.093888
-1.1691604,-2.444884
-9.769144,5.636124
37.94296,3.980565
-4.225224,10.215386
-8.769758,6.8631444
-6.5586305,-5.6994414
-7.4084463,-5.729863
-8.252094,8.168401
14.699473,-1.5139186
-2.0787723,-20.026
-6.258398,9.199547
-4.0358315,4.7042956
1.8376602,15.069111
-11.250473,6.037787
-13.5590315,-22.981441
7.6023674,-1.6736479
6.60686,1.474855
-9.241659,-1.039572
0.71746653,2.968271
-5.869326,-19.346754
-2.0521698,-12.096196
-15.923738,-10.752965
11.664846,-2.7941139
19.297962,21.561476
-7.5961723,3.4152951
-1.6060525,12.7564335
15.887823,-4.9717574
-20.741058,-0.19195989
-1.1415553,10.566999
7.1268783,-0.6875593
10.231692,-9.823193
-5.1671576,-19.142403
9.604113,-0.60442585
0.42160466,-11.284069
-10.251307,8.786288
3.0153468,-9.041429
2.6902266,-12.135709
4.290068,1.2995965
-2.5930455,-5.992945
-8.331778,4.712138
10.908657,-1.5105664
-7.1619916,-20.81299
-1.0065875,-11.616356
2.2643526,-13.681769
-8.428413,-10.551643
13.37905,-0.0025057679
3.8135726,-10.478688
6.068199,11.280906
-2.6830807,-13.967623
10.542718,-5.992499
-3.7229128,-8.414104
-6.9670815,12.637612
20.29935,-2.2741644
12.036029,-5.015308
-11.340147,-23.043568
-22.269503,2.4526055
-8.335546,-17.36526
-10.935668,6.3029504
4.11149,-7.3916364
-11.212589,-14.516661
-5.450915,-14.303469
-8.206132,-4.349964
17.876797,6.9817476
0.6393897,-13.876312
-9.4850645,9.645487
-2.453688,2.575315
-21.971327,3.3249307
8.277775,-7.9773564
11.962218,20.93028
-0.06252413,-7.3483005
-8.24183,9.697704
-2.348424,6.7574697
0.8433629,14.590073
-15.811815,-4.2951155
-3.8232255,-11.221431
5.339854,-8.741276
-9.886257,0.08281659
-6.170111,9.800912
1.6974866,-8.204614
10.817372,15.471595
19.336418,1.6195914
-11.2980795,9.870999
10.942825,5.300777
4.8428926,-6.504007
-5.5118055,-17.02783
-3.6823604,3.9327028
6.5268183,12.8347025
18.470606,-7.1328206
-8.923523,-3.7416334
-6.3343983,9.328147
3.3777428,-8.913224
2.2492926,-7.0074253
14.5689745,10.706602
-9.918548,-1.2449117
15.138073,18.391582
12.360159,-1.0568008
-0.7576095,-11.35731
-8.910884,-15.611355
-8.895296,8.661277
2.9962525,-11.994165
-24.15235,-4.500195
-3.132016,-11.637075
-0.19034237,-10.163533
4.885254,-11.521747
-2.3621125,0.25611144
-2.5218468,-7.5761695
-0.1696527,-8.709075
2.752889,-2.8803637
-8.958203,-13.33637
-11.976299,8.889441
8.936749,-6.110311
7.4009724,7.719085
-6.209696,-17.331541
3.2424278,9.625646
9.239525,-5.886783
15.835326,15.779547
-18.264023,5.761274
10.550656,-4.452517
-5.030097,4.1327825
10.8471775,-3.5627983
1.8749765,-16.57086
2.5546827,14.573248
3.6583588,3.8104968
-3.3808787,-9.0451975
7.1545978,-3.0419486
-6.3376207,-6.07598
-8.375608,4.808471
-2.3663223,-7.836628
-16.441193,-2.4972394
-18.132357,3.3832295
17.681856,0.61891246
